From,To,Weight
2316790812,1996606470,1
2316790812,2098515685,1
2614712649,2892691932,1
2609617489,2892691932,1
1682357100,2892691932,1
2609617489,2614712649,1
1682357100,2614712649,1
1682357100,2609617489,2
2152246792,1981478034,1
1992033580,2610235978,1
1991540312,2610235978,2
1991540312,1992033580,1
2807272074,422296881,1
1996774346,422296881,1
2807272074,1996774346,1
2137984800,1687740347,2
2137984800,2100422320,1
2607604270,2137984800,1
2100422320,1687740347,1
2607604270,1687740347,1
2607604270,2100422320,1
1983009502,1796181411,1
2104028897,1983009502,1
2572529657,1983009502,1
2203712776,1983009502,1
2171129370,1983009502,1
2104028897,1796181411,1
2572529657,1796181411,1
2203712776,1796181411,1
2171129370,1796181411,2
2572529657,2104028897,1
2203712776,2104028897,1
2171129370,2104028897,1
2572529657,2203712776,1
2572529657,2171129370,1
2203712776,2171129370,1
2162495446,2250437319,1
2597396421,716115564,1
2104932586,716115564,1
2139486911,716115564,1
2086844957,716115564,1
1227288424,716115564,1
2160209690,716115564,1
2597396421,2104932586,1
2597396421,2139486911,1
2597396421,2086844957,1
2597396421,1227288424,1
2597396421,2160209690,1
2139486911,2104932586,1
2104932586,2086844957,1
2104932586,1227288424,1
2160209690,2104932586,2
1230008937,704137116,1
1686798848,1230008937,1
1686798848,704137116,1
2639241184,2625553938,1
2656111214,2639241184,1
2639241184,2569719947,1
2639241184,2595125025,1
2639241184,2217060801,3
2656111214,2625553938,1
2625553938,2569719947,1
2625553938,2595125025,1
2625553938,2217060801,1
2656111214,2569719947,1
2656111214,2595125025,1
2656111214,2217060801,1
2595125025,2569719947,1
2569719947,2217060801,1
2595125025,2217060801,1
2553200485,2082501658,1
2553200485,241289278,1
2553200485,2138485215,1
2138485215,2082501658,1
2138485215,241289278,1
2048068789,1935992706,1
2311322772,1935992706,1
2722124448,1935992706,1
2311322772,2048068789,1
2722124448,2048068789,1
2722124448,2311322772,1
2675936553,1969850411,2
1969850411,573829725,2
2237973681,1969850411,2
2675936553,573829725,2
2675936553,2237973681,1
2237973681,573829725,2
2520257752,1180695272,1
2796887735,1180695272,1
2796887735,2520257752,1
2498951274,2325994176,1
2325994176,2035597422,1
2714216544,573829725,1
2714216544,2237973681,1
2714216544,2471124670,1
2471124670,573829725,1
2471124670,2237973681,1
1319038236,2021915572,1
2342935553,2311321429,1
2796882861,2311321429,1
2796882861,2342935553,2
2615848907,2776273882,1
2217335834,2156348552,2
2443388878,2217335834,2
2217335834,2152650197,2
2443388878,2156348552,2
2156348552,2152650197,2
2443388878,2152650197,2
2498578265,2137681794,1
2995978663,2498578265,1
2498578265,2318956150,1
2995978663,2137681794,1
2318956150,2137681794,1
2995978663,2318956150,1
2776413630,2472519918,1
2472519918,2096558821,1
2472519918,2165675726,1
2472519918,2066375901,1
2472519918,2152353141,1
2472519918,2034424438,1
2776413630,2096558821,1
2776413630,2165675726,1
2776413630,2066375901,1
2776413630,2152353141,1
2776413630,2034424438,1
2165675726,2096558821,2
2096558821,2066375901,2
2152353141,2096558821,2
2096558821,2034424438,2
2165675726,2066375901,1
2165675726,2152353141,2
2165675726,2034424438,2
2152353141,2066375901,1
2066375901,2034424438,1
2152353141,2034424438,2
2470088292,315110467,1
2622890583,2470088292,1
2470088292,2120044830,1
2745466011,2470088292,1
2694899095,2470088292,1
2785873619,2470088292,1
2470088292,1541326569,1
2622890583,315110467,1
2120044830,315110467,1
2745466011,315110467,1
2694899095,315110467,1
2785873619,315110467,1
1541326569,315110467,1
2622890583,2120044830,1
2745466011,2622890583,1
2694899095,2622890583,1
2785873619,2622890583,1
2622890583,1541326569,1
2745466011,2120044830,1
2694899095,2120044830,1
2785873619,2120044830,1
2120044830,1541326569,1
2745466011,2694899095,1
2785873619,2745466011,1
2745466011,1541326569,1
2785873619,2694899095,1
2694899095,1541326569,1
2785873619,1541326569,1
2649657308,2112003374,1
2132775078,2112003374,1
2649657308,2132775078,1
2139009569,1059569247,1
2601433099,1059569247,1
2601433099,2139009569,1
2799356997,2398747303,1
2800149633,2398747303,1
3037683248,2398747303,1
2800149633,2799356997,1
3037683248,2799356997,1
3037683248,2800149633,1
2158837569,2617334618,1
2557999286,2424517433,1
2557999286,2145440506,1
2557999286,2157092959,1
2557999286,2128228088,1
2557999286,2130964702,1
2424517433,2145440506,1
2424517433,2157092959,1
2424517433,2128228088,1
2424517433,2130964702,1
2157092959,2145440506,1
